What theory did Matisse say his choice of colors was based on?,out-of-domain
"What has drinking water been contaminated with for decades, making it unsafe in Endicott?",out-of-domain
What shopping center is located along Broadway?,out-of-domain
What kingdom was Guinea-Bissau once a part of?,out-of-domain
"In the 1840s, what country could no longer adequately supply the British cotton mills?",out-of-domain
What type of radiation can clothing provide some protection from?,out-of-domain
What is another name for Colleobola?,out-of-domain
Of what were the Satavahanas patrons?,out-of-domain
 When did the colonies declare dependence?,out-of-domain
What was unique to vinyl sales in 2014?,out-of-domain
What did John attempt to relieve in late 1203?,out-of-domain
What mraines are formed when two ice sheets meet?,out-of-domain
What is the key aspect of the targeted part of the group at the starting point of the inquiry? ,out-of-domain
Who died at Buckingham Palace during WWI?,out-of-domain
Who painted the walls of the Forbidden city red after the fall of the Ming dynasty?,out-of-domain
"If the Spanish sovereign was found capable of discharging royal authority, what happens?",out-of-domain
What conflict prompted Libya to end its nuclear weapons program?,out-of-domain
What type of comic has taken off in the 20th century?,out-of-domain
About how many people in Somalia speak Somali?,out-of-domain
What does the stand alone toilet do to develop local business and revenue?,out-of-domain
Where are other mountain areas in the British Isles?,out-of-domain
What does a lush environment allow hunter-gatherers to be?,out-of-domain
Who did Burke say had too much individuality?,out-of-domain
When did FWS create the Safe Harbor agreement?,out-of-domain
In what year did the Exclusion Crisis end?,out-of-domain
What was the working name for A Link to the Past prior to release?,out-of-domain
When were most churches and monasteries destroyed?,out-of-domain
What fraction of the Japanese garrison on Mili died due to hunger?,out-of-domain
Why did Whitehead view the existence of God as a necessity for his mathematical system?,out-of-domain
During daytime how high can the temperatures reach?,out-of-domain
What is the concentration of uranium in sea water?,out-of-domain
Hayek's critical analysis of Keyne's work was published under what title?,out-of-domain
"Aside from the adult contemporary chart, on what other chart did Lionel Richie's ""Hello"" reach the top spot?",out-of-domain
When was the Easter Rising?,out-of-domain
What does it take an animal to be able to do?,out-of-domain
What can be done to combate dietary deficiences?,out-of-domain
Which iPod model has its battery soldered into the unit?,out-of-domain
"As an inhaler, what was Primatene used to treat?",out-of-domain
What is the process of collecting national rights?,out-of-domain
Whose envoy was slaughtered by Daurentius?,out-of-domain
What is the state's last school of medicine?,out-of-domain
"The Middle East, the Balkans and others are included in what republic?",out-of-domain
Which Navy was assumed not to be able to operate under German air superiority?,out-of-domain
In what year did the FBI stop using commercially available software?,out-of-domain
What percentage of low-density penetrators is not made up of depleted uranium?,out-of-domain
What does the flat surface of the redesigned SNES invite people to do?,out-of-domain
Norfolk Island became a territory of what country?,out-of-domain
What are Airmen expected to be competent in for these Building Partnerships missions?,out-of-domain
How much electricity is imported by Estonia annually?,out-of-domain
What was the original name of the famous rifle manufacturing companies in New Haven?,out-of-domain
What year did Alexis Bouvard publish relevant astronomical tables? ,out-of-domain
What does sparging convert starches into?,out-of-domain
What was built on the site of the old Theatre Royal?,out-of-domain
What type of lectionary do Anglicanism churches follow?,out-of-domain
By what year did Canadian oil sands production average 2.3 million barrels per day?,out-of-domain
"Because of their heat resistance, glass-ceramics are especially suitable for what?",out-of-domain
"Who said ""o suggest that merely because these artists developed same as the traditional pattern""",out-of-domain
Who led Husayn's forces?,out-of-domain
When did Clark make his debut?,out-of-domain
In what year did Northwestern University stop teaching?,out-of-domain
What local figure played in the bands AMM and MIMEO?,out-of-domain
What is an example of a complex operation?,out-of-domain
What operation in the Rasht Valley was concluded in November 1910?,out-of-domain
Who ranked BYU as No. 11 of institutions whose grads were top-rated by recruiters in a 2010 article?,out-of-domain
"What is a yellow example of a sterile,hybrid plant with no seeds?",out-of-domain
How many digital copies of previously digitized materials were there in December of 2012?,out-of-domain
Who funded species within specific states?,out-of-domain
What sea plankton doe many sea creatures rely on to live?,out-of-domain
What contains a distribution of uranium deoxidation species in various forms ranging from most oxidized to least oxidized?,out-of-domain
What was Liu Shaokun's profession?,out-of-domain
What is one thing the cell must do once DNA replication is compete?,out-of-domain
The average rainfall level of somerset ,out-of-domain
Who was one of the members of the Governing Body in 1995?,out-of-domain
What was a consequence of adopting proposals intended to resolve the issue of Quebec sovereignty?,out-of-domain
Why is sequencing done on plants?,out-of-domain
Where are the Deccan Traps?,out-of-domain
What is not needed to provide power boost to Digimon,out-of-domain
When was the Everton club founded?,out-of-domain
What Protestant group is fine with the mixing of religions?,out-of-domain
How many times has Daniel Craig portrayed James Bond in films?,out-of-domain
Capital letters refer to which case of letter?,out-of-domain
What happens during a pin attempt?,out-of-domain
Where were the first demonstrations in Armenia?,out-of-domain
What is another name for Vedic Sanskrit?,out-of-domain
Who traditionally paid for scholars to study natural sciences?,out-of-domain
What state supported DST because it wanted to sell more potatoes?,out-of-domain
What date was Live Aid?,out-of-domain
How much content does the Community Tool Box offer?,out-of-domain
What fluids are in Neptune's interior? ,out-of-domain
Did the followers of Meletius obey the guidelines of Nicaea?,out-of-domain
How long does the sponsor remain? ,out-of-domain
Who signed the Treaty of Wuchale for Italy?,out-of-domain
"If you needed to place an antenna somewhere with a large amount of interference, which type would be best?",out-of-domain
How many stations did the CBC have broadcasting in analog in 2012?,out-of-domain
When does an electric field develop across the dielectric?,out-of-domain
What does Lan-nang mean in Singapore?,out-of-domain
Where did Cork get pieces of its language from?,out-of-domain
For what is cotton used to make?,out-of-domain
What is the primary method for determining the Avogadro constant?,out-of-domain
Which independent school had more hosted outreach events than Eton?,out-of-domain
What is another word for interfere?,out-of-domain
Who was the least influential supporter of the ideals of Terence?,out-of-domain
How many sutras are in the Astadhyayi?,out-of-domain
How many madaris have been founded outside of Cairo?,out-of-domain
What fraction of Manhattan residents have graduate degrees?,out-of-domain
Where are many of the wealthy neighborhoods located? ,out-of-domain
When would you have first found the moving coil microphone?,out-of-domain
text,intent
What year did the global recession that followed the financial crisis of 2007 end?,out-of-domain
what was a popular club in ibiza that started playing dance and house music?,out-of-domain
In what century did Martin Luther honor Mary as the Mother of God?,out-of-domain
What is the climate like?,out-of-domain
How many times has the Queen toured Canada?,out-of-domain
Has Bermuda's constitution ever been amended?,out-of-domain
What train line connects florida to the south? ,out-of-domain
What is the name of a show from Northern Ireland broadcast all over the United Kingdom?,out-of-domain
 Why was every Nachlass left behind after Whitehead's death?,out-of-domain
What concerns are raised when thinking about animals digging in the soil for food?,out-of-domain
What is the climate description for the southern half of Namibia?,out-of-domain
The Wii version makes use of what kind of sensors?,out-of-domain
How much many did the Premier League make from selling its internation rights during 2004-07?,out-of-domain
What are started to be a source of international law in the preamble in The Law of Treaties?,out-of-domain
Where is tourism in Montevideo centered in?,out-of-domain
What are produced in cell division?,out-of-domain
What year wasn't Canada united in a confederation?,out-of-domain
What is the Chinese Faust books an example of?,out-of-domain
South Africa's Medicines Act allowed for the generic production of what kind of drugs?,out-of-domain
What was PlayStation 3's toughest competitor in the video game market?,out-of-domain
About how many birds are released onto shooting estates every year?,out-of-domain
What term characterizes the intersection of the rites with the Roman Catholic Church?,out-of-domain
Why is Yiddish not a dialect of German?,out-of-domain
According to the institution what leads to inaccurate analysis of the city?  ,out-of-domain
In what month in 1944 did the King meet Sir Alan Brooke?,out-of-domain
What type of sources give information regarding total number of enablements?,out-of-domain
How are NPOs classified in Canada?,out-of-domain
What is a chemical that can cause green hue in birds?,out-of-domain
Which cells serve as antigen to lymphocytes?,out-of-domain
How long was U Wisara on a strike were he refused subsistence ?,out-of-domain
What are the individual litter canines called?,out-of-domain
"If you are going to farm in Cork, what should you be aware of?",out-of-domain
When did Brazil pass a new Constitution?,out-of-domain
How many binary borane hydrides are known?,out-of-domain
Who still practices persistence hunting?,out-of-domain
How long did two systems run on a trial basis for?,out-of-domain
What year saw the founding of Kathmandu's fire department?,out-of-domain
How long is the term for council members?,out-of-domain
What is Galicia is poetically known as?,out-of-domain
What has happened to DRAM's since they were created?,out-of-domain
What land does Ocarina serve to protect?,out-of-domain
Where in France were plundered artifacts brought in an effort to create a great central museum?,out-of-domain
When did automakers start using electroluminescent technology to backlight gauges?,out-of-domain
Was Evatt for or against nationalizing the banking system in Australia?,out-of-domain
What countries have an even higher rate of income disparity than Namibia?,out-of-domain
What document contradicts the Cyber Security Strategy?,out-of-domain
What do friendlies allow managers to experiment with?,out-of-domain
What is the name of the coach terminus in Melbourne?,out-of-domain
How many homes does PGW serve?,out-of-domain
When was Yale Law School closed?,out-of-domain
"In the writings of Rummel, what is the first and ordinary meaning of genocide?",out-of-domain
How did Goring expect to regain prestige?,out-of-domain
How many days on average does NYC get sunshine annually?,out-of-domain
How many Nobel Prizes have been won by IBM employees?,out-of-domain
What is the name of a fine art institution on the campus of KU?,out-of-domain
What old form of accounting was created during the late 13th and early 14th centuries?,out-of-domain
What theory did Matisse say his choice of colors was based on?,out-of-domain
"What has drinking water been contaminated with for decades, making it unsafe in Endicott?",out-of-domain
What shopping center is located along Broadway?,out-of-domain
What kingdom was Guinea-Bissau once a part of?,out-of-domain
"In the 1840s, what country could no longer adequately supply the British cotton mills?",out-of-domain
What type of radiation can clothing provide some protection from?,out-of-domain
What is another name for Colleobola?,out-of-domain
Of what were the Satavahanas patrons?,out-of-domain
 When did the colonies declare dependence?,out-of-domain
What was unique to vinyl sales in 2014?,out-of-domain
What did John attempt to relieve in late 1203?,out-of-domain
What mraines are formed when two ice sheets meet?,out-of-domain
What is the key aspect of the targeted part of the group at the starting point of the inquiry? ,out-of-domain
Who died at Buckingham Palace during WWI?,out-of-domain
Who painted the walls of the Forbidden city red after the fall of the Ming dynasty?,out-of-domain
"If the Spanish sovereign was found capable of discharging royal authority, what happens?",out-of-domain
What conflict prompted Libya to end its nuclear weapons program?,out-of-domain
What type of comic has taken off in the 20th century?,out-of-domain
About how many people in Somalia speak Somali?,out-of-domain
What does the stand alone toilet do to develop local business and revenue?,out-of-domain
Where are other mountain areas in the British Isles?,out-of-domain
What does a lush environment allow hunter-gatherers to be?,out-of-domain
Who did Burke say had too much individuality?,out-of-domain
When did FWS create the Safe Harbor agreement?,out-of-domain
In what year did the Exclusion Crisis end?,out-of-domain
What was the working name for A Link to the Past prior to release?,out-of-domain
When were most churches and monasteries destroyed?,out-of-domain
What fraction of the Japanese garrison on Mili died due to hunger?,out-of-domain
Why did Whitehead view the existence of God as a necessity for his mathematical system?,out-of-domain
During daytime how high can the temperatures reach?,out-of-domain
What is the concentration of uranium in sea water?,out-of-domain
Hayek's critical analysis of Keyne's work was published under what title?,out-of-domain
"Aside from the adult contemporary chart, on what other chart did Lionel Richie's ""Hello"" reach the top spot?",out-of-domain
When was the Easter Rising?,out-of-domain
What does it take an animal to be able to do?,out-of-domain
What can be done to combate dietary deficiences?,out-of-domain
Which iPod model has its battery soldered into the unit?,out-of-domain
"As an inhaler, what was Primatene used to treat?",out-of-domain
What is the process of collecting national rights?,out-of-domain
Whose envoy was slaughtered by Daurentius?,out-of-domain
What is the state's last school of medicine?,out-of-domain
"The Middle East, the Balkans and others are included in what republic?",out-of-domain
Which Navy was assumed not to be able to operate under German air superiority?,out-of-domain
In what year did the FBI stop using commercially available software?,out-of-domain
What percentage of low-density penetrators is not made up of depleted uranium?,out-of-domain
What does the flat surface of the redesigned SNES invite people to do?,out-of-domain
Norfolk Island became a territory of what country?,out-of-domain
What are Airmen expected to be competent in for these Building Partnerships missions?,out-of-domain
How much electricity is imported by Estonia annually?,out-of-domain
What was the original name of the famous rifle manufacturing companies in New Haven?,out-of-domain
What year did Alexis Bouvard publish relevant astronomical tables? ,out-of-domain
What does sparging convert starches into?,out-of-domain
What was built on the site of the old Theatre Royal?,out-of-domain
What type of lectionary do Anglicanism churches follow?,out-of-domain
By what year did Canadian oil sands production average 2.3 million barrels per day?,out-of-domain
"Because of their heat resistance, glass-ceramics are especially suitable for what?",out-of-domain
"Who said ""o suggest that merely because these artists developed same as the traditional pattern""",out-of-domain
Who led Husayn's forces?,out-of-domain
When did Clark make his debut?,out-of-domain
 In what year did Northwestern University stop teaching?,out-of-domain
What local figure played in the bands AMM and MIMEO?,out-of-domain
What is an example of a complex operation?,out-of-domain
What operation in the Rasht Valley was concluded in November 1910?,out-of-domain
Who ranked BYU as No. 11 of institutions whose grads were top-rated by recruiters in a 2010 article?,out-of-domain
"What is a yellow example of a sterile,hybrid plant with no seeds?",out-of-domain
How many digital copies of previously digitized materials were there in December of 2012?,out-of-domain
Who funded species within specific states?,out-of-domain
What sea plankton doe many sea creatures rely on to live?,out-of-domain
What contains a distribution of uranium deoxidation species in various forms ranging from most oxidized to least oxidized?,out-of-domain
What was Liu Shaokun's profession?,out-of-domain
What is one thing the cell must do once DNA replication is compete?,out-of-domain
The average rainfall level of somerset ,out-of-domain
Who was one of the members of the Governing Body in 1995?,out-of-domain
What was a consequence of adopting proposals intended to resolve the issue of Quebec sovereignty?,out-of-domain
Why is sequencing done on plants?,out-of-domain
Where are the Deccan Traps?,out-of-domain
What is not needed to provide power boost to Digimon,out-of-domain
When was the Everton club founded?,out-of-domain
What Protestant group is fine with the mixing of religions?,out-of-domain
How many times has Daniel Craig portrayed James Bond in films?,out-of-domain
Capital letters refer to which case of letter?,out-of-domain
What happens during a pin attempt?,out-of-domain
Where were the first demonstrations in Armenia?,out-of-domain
What is another name for Vedic Sanskrit?,out-of-domain
Who traditionally paid for scholars to study natural sciences?,out-of-domain
What state supported DST because it wanted to sell more potatoes?,out-of-domain
What date was Live Aid?,out-of-domain
How much content does the Community Tool Box offer?,out-of-domain
What fluids are in Neptune's interior? ,out-of-domain
Did the followers of Meletius obey the guidelines of Nicaea?,out-of-domain
How long does the sponsor remain? ,out-of-domain
Who signed the Treaty of Wuchale for Italy?,out-of-domain
"If you needed to place an antenna somewhere with a large amount of interference, which type would be best?",out-of-domain
How many stations did the CBC have broadcasting in analog in 2012?,out-of-domain
When does an electric field develop across the dielectric?,out-of-domain
What does Lan-nang mean in Singapore?,out-of-domain
Where did Cork get pieces of its language from?,out-of-domain
For what is cotton used to make?,out-of-domain
What is the primary method for determining the Avogadro constant?,out-of-domain
Which independent school had more hosted outreach events than Eton?,out-of-domain
What is another word for interfere?,out-of-domain
Who was the least influential supporter of the ideals of Terence?,out-of-domain
How many sutras are in the Astadhyayi?,out-of-domain
 How many madaris have been founded outside of Cairo?,out-of-domain
What fraction of Manhattan residents have graduate degrees?,out-of-domain
Where are many of the wealthy neighborhoods located? ,out-of-domain
When would you have first found the moving coil microphone?,out-of-domain
What is the time limit for completing an Endangered Species Recovery Plan?,out-of-domain
Where did Islamic influence in Tibet come from?,out-of-domain
What alphabet is invisible graphic:223 based on?,out-of-domain
What astronomical study is important research for Antarctica?,out-of-domain
How many kilometres do the Alps stretch?,out-of-domain
How many people were displaced in the unrests?,out-of-domain
"What company merged with Comcast, making it the largest TV company?",out-of-domain
Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,out-of-domain
Was Texas a primarily a Spanish speaking state?,out-of-domain
What do critics of the Jehovah's Witnesses accuse the religion's leaders of exercising over members?,out-of-domain
What does Theotokos mean?,out-of-domain
What movie did Spectre unseat as having the highest earnings for IMAX screenings in the UK?,out-of-domain
Who developed the Carolingian minuscule script for handwriting?,out-of-domain
Who was known as a reformer in Strasbourg?,out-of-domain
Who was high priest according to Christian tradition?,out-of-domain
What is the oldest group with devised rules in Canada?,out-of-domain
When did Wellbutrin plead guilty?,out-of-domain
Agriculture ended how many years ago?,out-of-domain
What is the customary calendar of Iran?,out-of-domain
Whose authority did the sisters not live under?,out-of-domain
When were birds represented in early cave paintings?,out-of-domain
What initiative did Madonna launched with her film?,out-of-domain
Who replaced Gladstone for only a few short months? ,out-of-domain
What's on the other side of the Hudson from the Bronx?,out-of-domain
What did the French navy lack in engaging coastal defenses?,out-of-domain
"In 2013, on what day were Arena Football League games usually broadcast on CBS Sports Network?",out-of-domain
What are Jehovah witnesses best known for?,out-of-domain
Under what condition does a displacement current never flow in a capacitor?,out-of-domain
Who judged everything according to mental ideals?,out-of-domain
Who was saved with the Judges' Save?,out-of-domain
What are the ranging signals of the BeiDou system based on?,out-of-domain
In what way is the dielectric used in order to cause the absolute breakdown voltage of capacitors to be limited?,out-of-domain
Both types of climate zones in the eastern part of the state are what?,out-of-domain
Who was the first ISP provider in Somalia?,out-of-domain
What did Bell create in 1881?,out-of-domain
What loyalists did Nasser target?,out-of-domain
When was the Massey conference held?,out-of-domain
What did the fans used to be called?,out-of-domain
For what have CTC students failed to qualify ?,out-of-domain
How does the financial backing of students around the world differ?,out-of-domain
What was installed on the front of the console so the joystick could be used?,out-of-domain
Who played by their own rules till the 1890's?,out-of-domain
What political party established Ireland's assembly?,out-of-domain
Which parental figures often avoided the common familial rules?,out-of-domain
What did the 1912 exhiibtion of Cubism show?,out-of-domain
Why can't Photo CDs work on any computer?,out-of-domain
What was reportedly the high value of of loot that the Ganj-i-Sawai had?,out-of-domain
Who was Alais?,out-of-domain
What is one huge advantage to using the black-box method?,out-of-domain
What are lower lobes in the lungs often more affected by?,out-of-domain
What ranks in the Song dynasty wore blue?,out-of-domain
Korean Presbyterian denominations are the biggest missionary sender in the world after which country?,out-of-domain
The release of what electronic had a positive impact on Dell?,out-of-domain
What event was caused by smaller herbivores in the area?,out-of-domain
Where is corruption even more prevalent?,out-of-domain
Which individuals usually approved charters for generals?,out-of-domain
Who was king when the Magyars settled in Hungary?,out-of-domain
Who won a victory at Boulogne-sur-Mer Harbour?,out-of-domain
Where would a password typed on a seemingly authetic webpage be directed?,out-of-domain
What were common in new churches?,out-of-domain
Approximately how many galleries of art are in New York City?,out-of-domain
What names are used that are typically from  a father and have usually added a suffix or prefix ?,out-of-domain
What allows extensive vegitation to occur?,out-of-domain
What was Charleston's unoriginal name?,out-of-domain
In which year was Pelayos proclaimed king?,out-of-domain
What text still remained without the type of thorough review that others texts had received by the 18th century?,out-of-domain
"According to UNICEF, what percentage of women in Guinea-Bissau had undergone female genital mutilation?",out-of-domain
The Freemason embodiment of what country's values was seen as threatening by Continental authorities?,out-of-domain
What funding organization uses the IUCN's Classification of Direct Threats?,out-of-domain
The Byzantine began taking back territories during the last of what century?,out-of-domain
When is the publication and data policy effective for new agreements?,out-of-domain
What countries prevented the Germans from joining the Munich Conference?,out-of-domain
What is the name of the region that surrounds Boston?,out-of-domain
What two fortifications distinguished the second Fort Hale built in New Haven during the Civil War?,out-of-domain
Who did the court tell they had a requirement to bind territorial revisions?,out-of-domain
What percent of the budget goes towards public housing and urbanism projects?,out-of-domain
How high is Mt. Mitchell?,out-of-domain
In what city is the organic landwill that Redeem obtains its non-fracked methane biogas?,out-of-domain
In 2007 the University of the Republic had a student body of how many people?,out-of-domain
Who was elected governor of Tennessee in 2002?,out-of-domain
What did the law likely lead to?,out-of-domain
"Along with the New York Rangers, what NHL franchise is based in New York?",out-of-domain
 Which Prussian ruler chose to go to war with France for control of Central Europe?,out-of-domain
What were Peshwas?,out-of-domain
What percentage of people in Chihuahua live in cities?,out-of-domain
What group did the crusaders who attacked Valencia belong to?,out-of-domain
In what feature of management did the British invest heavily?,out-of-domain
What did the a cappella organization founded in 1938 change its name to in 2004?,out-of-domain
What is a term for kingship that has connotations of freedom?,out-of-domain
"Along with Serbian, with what language is Macedonian mutually intelligible?",out-of-domain
What author of Robinson Crusoe also wrote a fictionalized account of the Great Plague of 1665?,out-of-domain
How are no databases accessed?,out-of-domain
What common element do mosaic panels from the 11th century have?,out-of-domain
What is the average altitude of Taunton?,out-of-domain
What type of degree were Thailand's technical colleges historically not allowed to confer?,out-of-domain
Laws about antennas keep home owners' associations and city government from banning what?,out-of-domain
How many slaves were freed in the american civil war?,out-of-domain
Why are CD-G players not useful for karaoke?,out-of-domain
 What does IHDI2 stand for?,out-of-domain
Who first domesticated the guinea fowl ?,out-of-domain
Who did the spending benefit?,out-of-domain
Who equated windos 8 as the first desktop operating system that understand what a computer is supposed to do?,out-of-domain
What changes did Microsoft make to its certification requirements in March 2013?,out-of-domain
Who was noted for his complex improvisations?,out-of-domain
What were the earliest priesthoods? ,out-of-domain
Who directed the television documentary Royal Family in the late 1960s?,out-of-domain
The world's best selling celebrity perfume line belongs to whom?,out-of-domain
What is the tenth most populous sub-national entity in Henan?,out-of-domain
What allows users to easily sync data between an iPhone and a PC?,out-of-domain
Why was South Korea important to the US?,out-of-domain
Which tool is used in periods longer than a day?,out-of-domain
What does 'chaetae' no longer mean?,out-of-domain
Where is the Gothic style expressed least strongly?,out-of-domain
How long did the trial diet last?,out-of-domain
"Outside of France, where are the other three branches of the Sorbonne library located?",out-of-domain
What is the meaning of Islamic education?,out-of-domain
Huge much light does a 13 W compact fluorescent lamp produce equivalent to a incandescent light bulb.,out-of-domain
Which friend received the letter in which Chopin referenced Liszt?,out-of-domain
Who was permitted to have official relationships with whites?,out-of-domain
What worms are very slow to retreat from danger?,out-of-domain
Which two companies provide internet and data transport to Alaska?,out-of-domain
What award did both Luís Figo and Cristiano Ronaldo win?,out-of-domain
How many children speak French?,out-of-domain
What isn't uranium's symbol on the Periodic Table of Elements?,out-of-domain
What did the soldiers rebel against in the Indian Rebellion of 1857?,out-of-domain
How much in farming subsidies did Eton receive in 2012?,out-of-domain
In what year did Hungary gain independence?,out-of-domain
Bottom Up Testing helps facilitate the testing of what?,out-of-domain
What did Nintendo use instead of the word console?,out-of-domain
What magazine was determined as one of the best places to work in 2009?,out-of-domain
"What group of people never came with others who left the geographical and historical region in southeastern Europe, now a mutual region between Greece and Albania ?",out-of-domain
What region has no mention?,out-of-domain
Which type of power is vested in Congress?,out-of-domain
What kind of customers does Dell provide support to for minor outages?,out-of-domain
t large community of Cork has its own quarter and a synagogue?,out-of-domain
What anniversary did Epic Comics celebrate in 1986?,out-of-domain
Napoleon III was removed to form what?,out-of-domain
"What are there 16,777,126 of?",out-of-domain
When was the sport of fighting chickens stopped?,out-of-domain
What well-established democracies have a clear understanding of role of law?,out-of-domain
Who conquered Panormos and briefly turned it into a Greek colony?,out-of-domain
What other technology does YouTube use besides WebM and H.642/MPEG-4 VAC?,out-of-domain
In what nation did the University Revolution occur?,out-of-domain
What was put in the temple of Vesta?,out-of-domain
Which other group besides the perpetrator did Kakar argue the definition of criterion should include any group defined by?,out-of-domain
What was broadcast on radio in 1983?,out-of-domain
What is the only absorbed dietary zinc compound?,out-of-domain
How many feet above sea level is the highest point of the Saxue Mountains?,out-of-domain
What is the largest denomination of the entire Ireland Island?,out-of-domain
How many planes were in the U.S. 3rd Fleet?,out-of-domain
Which of Darwin's written works has more in depth information about sexual selection?,out-of-domain
How did Gaddafi believe the Israel-Palestine conflict should be resolved?,out-of-domain
What cause wives to be unable to move to the US with their Chinese husbands after 1882?,out-of-domain
Mahayana aspires to Buddhahood through what path?,out-of-domain
How are Freemasons asked to leave a lodge?,out-of-domain
In 1990 which party had most of the election victories?,out-of-domain
How long were swift boats?,out-of-domain
What did John Locke base his governance philosphy in?,out-of-domain
The Ilkhans and Tumrids had what type of culture when ruling Iran?,out-of-domain
When did MOSFETs become widely available?,out-of-domain
What may present visible or distracting artifacts?,out-of-domain
What populations did not have autonomy?,out-of-domain
What are the Presidio and Mission considered today?,out-of-domain
How many residents were killed in Beichuan County?,out-of-domain
Vertical installation is done by bending the leads what degrees?,out-of-domain
What animal byproduct was imported to Plymouth in the 19th century?,out-of-domain
"If people have more daylight in the evenings, what season might see a rise in outdoor activity?",out-of-domain
What treaty did Stalin and China enter into?,out-of-domain
What type of worldview did New York's no wave movement tend to have?,out-of-domain
What did the Chinese get paid for their goods?,out-of-domain
How many men from NC joined the continental army?,out-of-domain
What factor forced the French to retreat to Metz?,out-of-domain
What are two available sources of vacuum on a moving airplane?,out-of-domain
What isn't the object identified with Neptune's trailing L5 Lagrangian point?,out-of-domain
Why did Burke say he acquiesced to his constituents?,out-of-domain
What was the nickname revel leader Daxi Dynasty?,out-of-domain
Together how records have they sold ?,out-of-domain
"What religious scripture can be fit into a large, loose definition of legal literature?",out-of-domain
Which kingdom did the Han conquer in 109 BC?,out-of-domain
Which system was demonstrated in the UK for the first time in 1981?,out-of-domain
What popular color was imported from France in the 18th century?,out-of-domain
Who was born in a northeastern part of India/,out-of-domain
Houston's geology was formed from river deposits from the erosion of what mountains?,out-of-domain
What were some of the original Australian department stores? ,out-of-domain
What is another word for tremolo?,out-of-domain
What year did the American Revolutionary War take place?,out-of-domain
What Italian city experienced a popular revolt?,out-of-domain
How long does the infection process take?,out-of-domain
"Where can financial relationships between Medicaid, Medicare and pharmaceutical companies be found?",out-of-domain
Where are most semiconductor devices found?,out-of-domain
What is the age limit on the Olympic men's tournament? ,out-of-domain
What kind of picture writing followed cuneiform?,out-of-domain
What period do Italian historians not believe came immediately after the High Period of the Middle Ages?,out-of-domain
Who did Beyonce donate the money to earned from her shows?,out-of-domain
How did the Stuxnet worm infect industrial equipment?,out-of-domain
The names of many properties near Atlantic City are used in which popular board game?,out-of-domain
When was the Kao Gong Ji written?,out-of-domain
How many of Congress' 29 vetoes did Johnson override?,out-of-domain
The Aboriginal population declined by what estimated percentage by 1863?,out-of-domain
