text,intent
Hey good to see you around,greeting
Hello what’s happening today,greeting
Hi everything good with you,greeting
Hey long time no see,greeting
How’s life treating you,greeting
Hey what’s going on,greeting
Hello how’s everything today,greeting
Hi what’s new with you,greeting
Hey how’s everything been going,greeting
Good morning feeling good today,greeting
Hi what are you up to today,greeting
Hello are you having a good day,greeting
Hey how’s your day shaping up,greeting
Good afternoon how are you feeling,greeting
Hi how’s your day been so far,greeting
Hello how’s your day looking,greeting
Hey how’s your day treating you,greeting
Good evening how are you doing,greeting
Who are you,greeting
What do you do,greeting
Can you tell me about yourself,greeting
Are you a real person,greeting
How can you help me,greeting
Why are you here,greeting
What’s the purpose of this bot,greeting
Who created you,greeting
Can I talk to a real person,greeting
What’s the digital lending system in Cambodia,greeting
Are you here to answer questions,greeting
Can you help me with digital services,greeting
What’s your role,greeting
How do you work,greeting
Can I ask anything,greeting
Are you a chatbot,greeting
What are you trained to do,greeting
Is this bot powered by AI,greeting
What can I ask you,greeting
How long will you be available,greeting
Can you help with my digital lending questions,greeting
What should I do if I need help,greeting
What kind of help do you offer,greeting
Is this system related to technology,greeting
Tell me about yourself.,greeting
What is your purpose?,greeting
How can I talk to you?,greeting
What are your capabilities?,greeting
Who created you?,greeting
Can you provide examples of your work?,greeting
What is your area of expertise?,greeting
How do you stay updated?,greeting
What is your background?,greeting
What is your experience?,greeting
What is your role?,greeting
How do you work?,greeting
Can you provide case studies?,greeting
What is your approach?,greeting
How do you measure success?,greeting
What is your methodology?,greeting
Can you provide training?,greeting
How do you assist businesses?,greeting
What is your goal?,greeting
How do you help businesses grow?,greeting
What is your mission?,greeting
How do you support businesses?,greeting
What is your vision?,greeting
How do you engage with businesses?,greeting
Can you provide consulting services?,greeting
How do you collaborate with businesses?,greeting
What is your expertise in digital marketing?,greeting
How do you help businesses with SEO?,greeting
What is your approach to SEM?,greeting
How do you assist businesses with social media marketing?,greeting
What is your strategy for content marketing?,greeting
How do you help businesses with email marketing?,greeting
What is your approach to conversion rate optimization?,greeting
How do you assist businesses with lead generation?,greeting
What is your strategy for online advertising?,greeting
How do you help businesses with social media advertising?,greeting
What is your approach to influencer marketing?,greeting
How do you assist businesses with affiliate marketing?,greeting
What is your strategy for online reputation management?,greeting
How do you help businesses with customer engagement?,greeting
What is your approach to customer retention?,greeting
How do you assist businesses with brand positioning?,greeting
What is your strategy for market segmentation?,greeting
How do you help businesses with competitive analysis?,greeting
What is your approach to market research?,greeting
How do you assist businesses with product development?,greeting
What is your strategy for pricing strategy?,greeting
How do you help businesses with distribution channels?,greeting
Who created you?,greeting
Are you a real person?,greeting
Who are you?,greeting
How are you helpful?,greeting
What is your mission?,greeting
Why were you created?,greeting
Who built you?,greeting
Can you assist with digital lending?,greeting
Can you help with my business?,greeting
How can you assist me?,greeting
Why should I use you?,greeting
What do you know?,greeting
How do you help people?,greeting
Where are you from?,greeting
What can you do?,greeting
What is your purpose?,greeting
What is your role?,greeting
What is your goal?,greeting
What is your mission?,greeting
What is your vision?,greeting
What is your area of expertise?,greeting
What is your background?,greeting
What is your experience?,greeting
What is your approach?,greeting
What is your methodology?,greeting 
What is your strategy?,greeting
What is your process?,greeting
What is your mission statement?,greeting

